sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
0,C-train-4,inlet,0.0,-0.5,0.0,0.0,,-1.0,0.0
1,C-train-4,inlet,0.0,-0.49,0.05940000000000012,0.0,,-1.0,0.0
2,C-train-4,inlet,0.0,-0.48,0.11760000000000004,0.0,,-1.0,0.0
3,C-train-4,inlet,0.0,-0.47,0.1746000000000001,0.0,,-1.0,0.0
4,C-train-4,inlet,0.0,-0.46,0.23039999999999994,0.0,,-1.0,0.0
5,C-train-4,inlet,0.0,-0.45,0.2849999999999999,0.0,,-1.0,0.0
6,C-train-4,inlet,0.0,-0.44,0.33840000000000003,0.0,,-1.0,0.0
7,C-train-4,inlet,0.0,-0.43,0.3906000000000001,0.0,,-1.0,0.0
8,C-train-4,inlet,0.0,-0.42,0.44160000000000016,0.0,,-1.0,0.0
9,C-train-4,inlet,0.0,-0.41000000000000003,0.49139999999999984,0.0,,-1.0,0.0
10,C-train-4,inlet,0.0,-0.4,0.5399999999999998,0.0,,-1.0,0.0
11,C-train-4,inlet,0.0,-0.39,0.5873999999999999,0.0,,-1.0,0.0
12,C-train-4,inlet,0.0,-0.38,0.6335999999999999,0.0,,-1.0,0.0
13,C-train-4,inlet,0.0,-0.37,0.6786000000000001,0.0,,-1.0,0.0
14,C-train-4,inlet,0.0,-0.36,0.7224,0.0,,-1.0,0.0
15,C-train-4,inlet,0.0,-0.35,0.765,0.0,,-1.0,0.0
16,C-train-4,inlet,0.0,-0.33999999999999997,0.8064000000000001,0.0,,-1.0,0.0
17,C-train-4,inlet,0.0,-0.32999999999999996,0.8466000000000002,0.0,,-1.0,0.0
18,C-train-4,inlet,0.0,-0.32,0.8856,0.0,,-1.0,0.0
19,C-train-4,inlet,0.0,-0.31,0.9233999999999999,0.0,,-1.0,0.0
20,C-train-4,inlet,0.0,-0.3,0.96,0.0,,-1.0,0.0
21,C-train-4,inlet,0.0,-0.29000000000000004,0.9954,0.0,,-1.0,0.0
22,C-train-4,inlet,0.0,-0.28,1.0295999999999998,0.0,,-1.0,0.0
23,C-train-4,inlet,0.0,-0.27,1.0625999999999998,0.0,,-1.0,0.0
24,C-train-4,inlet,0.0,-0.26,1.0944,0.0,,-1.0,0.0
25,C-train-4,inlet,0.0,-0.25,1.125,0.0,,-1.0,0.0
26,C-train-4,inlet,0.0,-0.24,1.1544,0.0,,-1.0,0.0
27,C-train-4,inlet,0.0,-0.22999999999999998,1.1825999999999999,0.0,,-1.0,0.0
